radiator_ft,feedline_ft,total_wire_ft,sample_count,all_required_compatibility_fraction,minimum_required_band_compatibility_fraction,required_max_q_p90,required_max_raw_swr_p90,required_worst_line_efficiency_p10,40m_compatibility_fraction,30m_compatibility_fraction,20m_compatibility_fraction,17m_compatibility_fraction,15m_compatibility_fraction,12m_compatibility_fraction,10m_compatibility_fraction
40.5,10.0,60.5,54,0.0,0.0,123.00676015216318,649.698357578024,0.0022194523142535197,0.5,0.25925925925925924,0.0,0.0,0.4444444444444444,0.5555555555555556,0.12962962962962962
40.5,10.5,61.5,54,0.0,0.0,122.91955175469442,646.248710636154,0.00202928490291274,0.5,0.24074074074074073,0.0,0.0,0.5185185185185185,0.5555555555555556,0.2222222222222222
40.5,11.0,62.5,54,0.0,0.0,122.6602305626679,642.7946955382658,0.0018720593974136755,0.5,0.24074074074074073,0.0,0.0,0.5555555555555556,0.4444444444444444,0.2777777777777778
40.5,11.5,63.5,54,0.0,0.0,122.23962716142626,639.3248667732385,0.001741495439658739,0.5,0.2222222222222222,0.0,0.0,0.6111111111111112,0.35185185185185186,0.2962962962962963
40.5,12.0,64.5,54,0.0,0.0,121.65878014757006,635.8283583547762,0.0016327990300403108,0.5,0.2222222222222222,0.0,0.0,0.6481481481481481,0.2777777777777778,0.2962962962962963
40.5,12.5,65.5,54,0.0,0.0,122.91287959473476,632.2947840544799,0.0015422773677334475,0.5,0.2037037037037037,0.0,0.0,0.6666666666666666,0.2222222222222222,0.2222222222222222
40.5,13.0,66.5,54,0.0,0.0,123.37203285641597,628.714149654528,0.0014670647919535834,0.5,0.2222222222222222,0.0,0.0,0.6481481481481481,0.16666666666666666,0.25925925925925924
40.5,13.5,67.5,54,0.0,0.0,125.24291069491406,625.076775387156,0.0014049256038073464,0.5,0.24074074074074073,0.0,0.0,0.6111111111111112,0.16666666666666666,0.25925925925925924
40.5,14.0,68.5,54,0.0,0.0,126.87669284262267,621.3732270512983,0.0013541107474992953,0.5,0.24074074074074073,0.0,0.0,0.5370370370370371,0.12962962962962962,0.25925925925925924
40.5,14.5,69.5,54,0.0,0.0,128.28632294965823,617.5942545665546,0.0013132527069848806,0.5,0.25925925925925924,0.0,0.0,0.46296296296296297,0.12962962962962962,0.24074074074074073
